Country and territory,Year,GDP per capita,Population (historical estimates)
AFG,1950,1156,7480464
AFG,1951,1170,7571542
AFG,1952,1189,7667534
AFG,1953,1240,7764549
AFG,1954,1245,7864289
AFG,1955,1246,7971933
AFG,1956,1278,8087730
AFG,1957,1253,8210207
AFG,1958,1298,8333827
AFG,1959,1307,8468220
AFG,1960,1326,8622473
AFG,1961,1309,8790140
AFG,1962,1302,8969055
AFG,1963,1298,9157463
AFG,1964,1291,9355510
AFG,1965,1290,9565154
AFG,1966,1272,9783153
AFG,1967,1277,10010037
AFG,1968,1290,10247782
AFG,1969,1278,10494491
AFG,1970,1272,10752973
AFG,1971,1237,11015853
AFG,1972,1007,11286753
AFG,1973,1011,11575308
AFG,1974,1039,11869881
AFG,1975,1074,12157390
AFG,1976,1105,12425276
AFG,1977,1022,12687308
AFG,1978,1070,12938864
AFG,1979,1023,12986378
AFG,1980,1019,12486640
AFG,1981,1144,11155196
AFG,1982,1270,10088290
AFG,1983,1347,9951447
AFG,1984,1337,10243689
AFG,1985,1304,10512220
AFG,1986,1344,10448447
AFG,1987,1211,10322767
AFG,1988,1101,10383459
AFG,1989,999,10673172
AFG,1990,963,10694804
AFG,1991,881.1704,10745168
AFG,1992,843.8753,12057436
AFG,1993,578.4027,14003764
AFG,1994,428.4246,15455560
AFG,1995,632.9404,16418911
AFG,1996,600.1753,17106600
AFG,1997,570.5981,17788818
AFG,1998,545.0388,18493134
AFG,1999,518.6579,19262854
AFG,2000,502.3727,19542986
AFG,2001,489.682,19688634
AFG,2002,796.8166,21000258
AFG,2003,842.8052,22645136
AFG,2004,869.0393,23553554
AFG,2005,964.4081,24411196
AFG,2006,1057.0966,25442946
AFG,2007,1259.9967,25903306
AFG,2008,1319.6074,26427204
AFG,2009,1557.3206,27385310
AFG,2010,1627.6716,28189672
AFG,2011,1792,29249156
AFG,2012,1945,30466484
AFG,2013,2025,31541216
AFG,2014,2022,32716214
AFG,2015,1928,33753500
AFG,2016,1929,34636212
AFG,2017,2014.7452,35643420
AFG,2018,1934.555,36686788
AFG,2019,,37769496
AFG,2020,,38972236
AFG,2021,,40099460
ALB,1950,1596,1252587
ALB,1951,1666,1289175
ALB,1952,1667,1326957
ALB,1953,1736,1366747
ALB,1954,1785,1409011
ALB,1955,1882,1453732
ALB,1956,1902,1500625
ALB,1957,2023,1549575
ALB,1958,2114,1600986
ALB,1959,2201,1655022
ALB,1960,2313,1711189
ALB,1961,2332,1769076
ALB,1962,2409,1828234
ALB,1963,2491,1888302
ALB,1964,2576,1949020
ALB,1965,2670,2009793
ALB,1966,2770,2070694
ALB,1967,2876,2132447
ALB,1968,2979,2195474
ALB,1969,3080,2259797
ALB,1970,3194,2324733
ALB,1971,3322,2389820
ALB,1972,3451,2455181
ALB,1973,3623,2520442
ALB,1974,3637,2585457
ALB,1975,3649,2650128
ALB,1976,3665,2713564
ALB,1977,3681,2774798
ALB,1978,3696,2833317
ALB,1979,3716,2888764
ALB,1980,3741,2941650
ALB,1981,3762,2992391
ALB,1982,3783,3041188
ALB,1983,3805,3087904
ALB,1984,3826,3131731
ALB,1985,3846,3171727
ALB,1986,3870,3207129
ALB,1987,3894,3237677
ALB,1988,3920,3263019
ALB,1989,3948,3282187
ALB,1990,3983,3295073
ALB,1991,2942.1006,3302087
ALB,1992,2841.7651,3303738
ALB,1993,3137.024,3300715
ALB,1994,3399.7102,3294001
ALB,1995,3666.6506,3284370
ALB,1996,3965.6853,3271336
ALB,1997,3526.9856,3253721
ALB,1998,3873.3733,3232185
ALB,1999,4432.0425,3208265
ALB,2000,4808.4795,3182027
ALB,2001,5285.809,3153615
ALB,2002,5608.9624,3123554
ALB,2003,6004.645,3092993
ALB,2004,6419.8706,3062629
ALB,2005,6858.467,3032636
ALB,2006,7347.33,3003391
ALB,2007,7866.1577,2976089
ALB,2008,8522.13,2951690
ALB,2009,8859.472,2930553
ALB,2010,9222.973,2913402
ALB,2011,9484,2900660
ALB,2012,9592,2892191
ALB,2013,9660,2887019
ALB,2014,9808,2884100
ALB,2015,10032,2882482
ALB,2016,10342,2881064
ALB,2017,10702.12,2879361
ALB,2018,11104.166,2877019
ALB,2019,,2873883
ALB,2020,,2866850
ALB,2021,,2854710
DZA,1950,2176,9019866
DZA,1951,2147,9271741
DZA,1952,2193,9521703
DZA,1953,2182,9771686
DZA,1954,2291,10011548
DZA,1955,2303,10242297
DZA,1956,2475,10473167
DZA,1957,2699,10703259
DZA,1958,2740,10933788
DZA,1959,3178,11164451
DZA,1960,3328,11394309
DZA,1961,2868,11598615
DZA,1962,2284,11778265
DZA,1963,2818,11969449
DZA,1964,2879,12179097
DZA,1965,2981,12381262
DZA,1966,2750,12613398
DZA,1967,2907,12897121
DZA,1968,3151,13190979
DZA,1969,3355,13491022
DZA,1970,3585,13795915
DZA,1971,3188,14110269
DZA,1972,3746,14439750
DZA,1973,3757,14786473
DZA,1974,3870,15153601
DZA,1975,4020,15724698
DZA,1976,4157,16500516
DZA,1977,4398,17134196
DZA,1978,4812,17632646
DZA,1979,5088,18166982
DZA,1980,5024,18739378
DZA,1981,4991,19351356
DZA,1982,5145,20000098
DZA,1983,5243,20682110
DZA,1984,5361,21393532
DZA,1985,5469,22132910
DZA,1986,5262,22882560
DZA,1987,5088,23586098
DZA,1988,4850,24243024
DZA,1989,4889,24889516
DZA,1990,4697,25518074
